DEAL_ID,STAGE_CREATED_AT,PIPELINE_ID,PIPELINE_NAME,DEAL_STAGE_ID,STAGE_NAME,STAGE_DISPLAY_ORDER
419599449,2023-03-03T23:17:36.474Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
479889562,2023-03-03T23:17:27.946Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
1243737169,2023-11-15T23:19:32.306Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
1243737169,2023-11-15T20:05:40.785Z,default,Mid Market Pipeline,f08680df-ebe7-4186-bf77-d251deb988df,Keep Warm,4
1243737169,2023-11-15T20:05:22.049Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
1290039752,2023-11-15T19:51:20.583Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
1667461050,2023-11-15T19:47:59.418Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
2267034827,2024-01-17T17:03:27.971Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
2267034827,2023-04-19T13:34:47.36Z,default,Mid Market Pipeline,4b25ab61-cb79-435e-b40e-9fc1b873d6e0,Stalled,0
2391223337,2023-03-03T23:12:37.274Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
2783451348,2023-02-22T22:11:06.174Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
3449223227,2023-03-03T23:17:20.69Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
4359259179,2023-03-03T23:12:27.299Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
4564424880,2023-01-30T08:21:02.605Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
4633502312,2023-03-03T23:12:12.51Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
5120298390,2023-07-17T11:39:43.754Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
5221946932,2023-08-28T09:33:16.192Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
5718598439,2023-03-03T23:12:05.207Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
5784715703,2023-03-22T21:07:39.768Z,default,Mid Market Pipeline,41151bc6-cfe7-4870-9c8b-25ca0d045e54,Closed Won,10
5788684563,2023-02-03T11:57:59.404Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
5975772015,2023-05-17T17:54:06.137Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
6161166853,2023-08-28T09:33:53.636Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
6181422143,2023-08-28T09:33:33.991Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
6290704670,2023-06-12T15:32:01.966Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
6318122789,2023-01-11T13:40:19.543Z,default,Mid Market Pipeline,f08680df-ebe7-4186-bf77-d251deb988df,Keep Warm,4
6522511537,2023-03-03T23:11:37.955Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
6586339177,2023-04-14T12:58:22.085Z,default,Mid Market Pipeline,f08680df-ebe7-4186-bf77-d251deb988df,Keep Warm,4
6618097562,2023-11-17T09:18:05.765Z,default,Mid Market Pipeline,4daa2fd1-df21-4779-853f-fe0b8acb2c85,Discovery,5
6689899358,2023-03-03T23:11:22.166Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
6716945815,2023-02-15T16:16:08.36Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
6720288538,2023-03-03T23:11:07.225Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
6846227889,2024-01-24T18:45:31.899Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
6877682276,2023-08-15T13:30:53.779Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
6935200340,2023-03-03T23:10:58.922Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
6992391533,2023-01-13T16:58:30.843Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
7038424838,2023-01-17T15:54:46.504Z,default,Mid Market Pipeline,f08680df-ebe7-4186-bf77-d251deb988df,Keep Warm,4
7199611942,2023-01-12T18:59:44.463Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
7247362703,2023-11-16T17:22:11.876Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
7254102606,2023-03-03T23:17:11.949Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
7404222030,2023-03-28T07:32:22.046Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
7415122972,2023-05-30T18:00:42.48Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
7415122972,2023-04-12T17:19:06.195Z,default,Mid Market Pipeline,contractsent,Procurement/Negotiation,9
7415122972,2023-03-28T09:46:42.747Z,default,Mid Market Pipeline,decisionmakerboughtin,Proposal/Pricing,8
7415122972,2023-01-10T16:40:42.35Z,default,Mid Market Pipeline,f08680df-ebe7-4186-bf77-d251deb988df,Keep Warm,4
7421839272,2023-01-30T09:48:01.004Z,default,Mid Market Pipeline,7960224,Lead Engaged,1
7592838166,2023-03-03T07:15:09.224Z,default,Mid Market Pipeline,f08680df-ebe7-4186-bf77-d251deb988df,Keep Warm,4
7611503988,2023-01-05T15:29:59.149Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
7743056498,2023-03-03T23:10:40.721Z,default,Mid Market Pipeline,closedlost,Closed Lost,2
