DEAL_ID,PIPELINE_ID,PIPELINE_NAME,STAGE_NAME,AMOUNT_IN_HOME_CURRENCY,CREATED_AT,CLOSE_DATE,DEAL_SOURCE_TYPE
11544428215,default,Mid Market Pipeline,Closed Lost,,2023-01-01T16:41:15.041Z,2023-01-18T09:15:41.444Z,Website
11631593293,default,Mid Market Pipeline,Keep Warm,30200,2023-01-09T09:04:27.21Z,2023-09-30T22:01:15.185Z,Website
11650819658,default,Mid Market Pipeline,Closed Lost,7700,2023-01-10T22:00:07.113Z,2023-04-14T13:58:59.158Z,Website
11744161349,default,Mid Market Pipeline,Closed Lost,,2023-01-18T14:05:53.154Z,2023-04-12T11:39:42.702Z,Website
11745016639,default,Mid Market Pipeline,Closed Lost,,2023-01-18T15:48:29.732Z,2023-04-13T17:39:37.17Z,Website
11750790416,default,Mid Market Pipeline,Closed Lost,,2023-01-18T19:45:21.053Z,2023-01-20T14:32:46.569Z,Sales Outbound
11765292444,default,Mid Market Pipeline,Closed Lost,20600,2023-01-19T16:44:26.076Z,2024-01-26T09:47:06.981Z,Website
11769088269,default,Mid Market Pipeline,Closed Lost,,2023-01-19T21:53:44.853Z,2023-05-04T13:45:40.251Z,Website
11776238629,default,Mid Market Pipeline,Closed Lost,13600,2023-01-20T14:45:51.727Z,2023-05-09T16:21:42.07Z,Website
11776409864,default,Mid Market Pipeline,Closed Lost,12600,2023-01-20T14:58:36.574Z,2023-05-09T16:17:51.696Z,Website
11831233947,default,Mid Market Pipeline,Closed Won,27412.5,2023-01-24T15:23:46.726Z,2023-06-30T21:52:15.715Z,Website
11839902114,default,Mid Market Pipeline,Closed Won,9575,2023-01-24T22:29:04.427Z,2023-01-31T18:47:52.822Z,Website
11927508532,default,Mid Market Pipeline,Closed Lost,14350,2023-01-30T10:16:11.408Z,2023-04-05T13:08:37.022Z,PPC / Paid Advertising
11933146496,default,Mid Market Pipeline,Closed Lost,12600,2023-01-30T18:47:42.011Z,2023-02-22T16:45:28.807Z,Website
11938781718,default,Mid Market Pipeline,Closed Lost,,2023-01-31T00:25:46.257Z,2023-02-23T12:08:57.024Z,Website
