deal_key,deal_id,pipeline_id,pipeline_name,current_stage_name,amount_usd,deal_created_at,deal_closed_at,deal_source_type
+cXNbmFqnJxRYkqyHR/npDk2FgDCQzptBtj+NlrhzyM=,13431080742,DEFAULT,MID MARKET PIPELINE,CLOSED LOST,0.0,2023-05-24 08:15:20.349000 UTC,2023-07-06 16:36:11.837000 UTC,SOCIAL
kiPBwnYqEKk0nhQ+qoGRtV8LaQFcHiTQh8i4ZGFJqr4=,13683436034,DEFAULT,MID MARKET PIPELINE,PROPOSAL/PRICING,116700.0,2023-06-12 23:12:23.184000 UTC,2024-06-28 17:53:14.738000 UTC,SOCIAL
eD7n9S6h6rUvj3PJBuBbXHFnjkWeIiOWuq3TzyejFio=,12276619686,DEFAULT,MID MARKET PIPELINE,KEEP WARM,0.0,2023-02-23 10:22:27.954000 UTC,,WEBINAR
W8cIJskmEZjXdapEtABvgXVVDDp7xIuu/yNUazb/6qk=,12105039681,DEFAULT,MID MARKET PIPELINE,KEEP WARM,2960.0,2023-02-10 20:00:19.584000 UTC,2023-09-30 12:15:45.598000 UTC,WEBINAR
i1OeDVhloWqlEgGWeY9q0ekwmqMzUMigzes33fjHri8=,16116536956,DEFAULT,MID MARKET PIPELINE,QUALIFIED,9140.0,2023-11-18 16:19:34.335000 UTC,2024-03-31 13:31:53.595000 UTC,WEBINAR
ThYpeNsnJpIAMcWLS1xkid3tw+6mHeN9qhfIYMOSSmY=,14719901485,DEFAULT,MID MARKET PIPELINE,QUALIFIED,12186.9,2023-08-18 10:52:32.189000 UTC,2025-01-01 09:49:19.824000 UTC,WEBINAR
jlmEI9y0qx/hyd5+qqaoqdgQ1I1q/kX9jozRNK9sTfw=,13305223328,DEFAULT,MID MARKET PIPELINE,CLOSED WON,10100.0,2023-05-11 17:59:03.149000 UTC,2023-12-15 16:22:00.304000 UTC,WEBINAR
3xz0xoX8qr212/djSn+Dy+ZR/uU+RsmW54PriuUU/Us=,12149716742,DEFAULT,MID MARKET PIPELINE,CLOSED WON,29600.0,2023-02-14 07:22:25.780000 UTC,2023-06-29 23:24:04.960000 UTC,WEBINAR
OFS6Q5NpVPqY8YEgfS0NrEt/zIsnjjnbyip44kDDKjY=,12038045778,DEFAULT,MID MARKET PIPELINE,CLOSED WON,13324.5,2023-02-06 17:57:27.187000 UTC,2023-09-11 17:00:55.268000 UTC,WEBINAR
22q01jbfIj/qMCB/n56WkVXYNnBY3ccyDrUpQoPwzhM=,13794697087,DEFAULT,MID MARKET PIPELINE,CLOSED WON,8480.0,2023-06-20 16:18:38.882000 UTC,2023-08-07 09:24:53.942000 UTC,WEBINAR
