deal_stage_key,deal_key,deal_id,stage_created_at,pipeline_id,pipeline_name,deal_stage_id,pipeline_stage_name,stage_display_order
ExGZDcu2AsjVGASBxu2a9SMds9HkRvV8IrjP8ytKlV8=,7F5RVpjQ2fqnJQFXjcPhk3q0z8Vrb7iMUdxYUvkv3+U=,12197046091,2023-02-17 04:15:01.155000 UTC,DEFAULT,MID MARKET PIPELINE,a18e591a-8206-42df-aa72-d7968c435e28,WON - CLOSED SELF-SERVE,3
oHCeezKMUVN6s847KkoMs+x9WariA/hCmELZJimlwo8=,3xRzw9gq+6VtQMJHDapdeTCalFtXZkiiqAqeBIPl1gI=,12197247792,2023-02-17 04:37:40.861000 UTC,DEFAULT,MID MARKET PIPELINE,a18e591a-8206-42df-aa72-d7968c435e28,WON - CLOSED SELF-SERVE,3
ICqny6bz/pGtHNUYI1eXYHwGYMzNfxYgU0xbroZIPmc=,0zZlh4z6DgkmuU6tGGqRGne6zKlNSsmWKJQfQHbNxcM=,12337942183,2023-02-28 04:32:56.551000 UTC,DEFAULT,MID MARKET PIPELINE,a18e591a-8206-42df-aa72-d7968c435e28,WON - CLOSED SELF-SERVE,3
s52GlCk/lvAMHyRj7RQfhuEwPWlinUsXtKO/t703E3Q=,Qkn8PqpRQ4vQTpWxEFf0rHznhpv9DLIS42hMKEX9bxs=,16897301874,2024-01-16 15:34:11.631000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
55dlMpUHMuHPaMSj0Sc6BqvHlrL35lNuNncd7Yzfqqs=,A0B52+E4MUcnfPns2Rrmi4LvGeFFHm6AxJVT3HCjDOs=,7421839272,2023-01-30 09:48:01.004000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
9FWNUxdSBklLAWHaRzaFolqAbEJb0Ux0zJUc8nGo584=,a+k9a2iEBJQmcpNox7njd0uaXIFWpr++Tb0frS5VZCk=,17270176930,2024-01-11 12:15:51.887000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
9ADUszg4xt8Q+ogD8gCjTfKFhODOzAVedxLtKJa/efM=,o1oZsphdNJ50ijLsKzvQ+h7H9o9BNcj8C2oPO2QR3qU=,13710218623,2023-06-23 16:28:37.104000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
4qKfXfGLn7LtIEw24aNdtNr6vn4HKquGOulp85GcEW4=,dLu3ptRQcBgqo0Dsp0f7COFwx0CyuoDmFMS7CZdlA5k=,10863121664,2023-01-06 12:33:21.039000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
Gcqqhe9/5t4IRisQKHv7Vhrx3vmC4hTC3XRdU36Hui8=,YSgbC9XqYbkas1KCs6zC+ledOO7qHHDqlTzC7o5o/x0=,15273668526,2023-09-21 21:58:32.758000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
flxO7BGbQIjfSxq0bqlzEIieFX9QOd+z5hcxRRfTC+I=,XwuqekKdIRNFV1LH0Qwo9Nf9HFWjFGr9zl+PX1cdLXE=,13709986406,2023-06-23 16:17:47.430000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
A64UbhlhdHupejHhdv217vqUL/zkQMtXvEJwnJyMK8M=,rPtVT4wZ3heZUtjjycpS8fUOUFFGjjRKZjtZJvvkchQ=,14265377541,2023-07-25 17:12:31.686000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
YPPl9Vt89VgjjYFKFBS9L0Ip8xoiGfN6Szxo1m060I4=,vGTJAlDrB4uxV2YOLFnh7Z0xopXbji/XCoo2yiwGn90=,17245504678,2024-01-31 17:14:22.192000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
141Mw/B/BKQ5nqGZx4S4Cc35vnkhSg8OBUM5VXUiolc=,ZhlKmetv6itnn/A+32J9Wzci6KcOEygHF8/w4xcrGBA=,13086298392,2023-04-21 18:05:11.278000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
+PceAtgloBfh5EJv4pgL7UeMh21sxRvbJmsvFA2ebPI=,S1oFvDIvETWIbsNQbgZuU6ENt4m/VSIovZYCeuYMF1E=,14921104188,2023-09-05 21:53:46.717000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
ssWqwBsmLlRInZia4BAiii40REarWuLV0OCxaNLNRbs=,CIjoZgViI48li47Ywsgym/5uClCzjmMESjRAG6pp++M=,14647502890,2023-08-16 08:39:19.556000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
Cyxu5QQCxJopG6yzrGBUgjtJevOYqx1uc3uDdJTE9s0=,Fsq21UTDvHrkc8HAybxP+9LeQLAZzga3stP5+qnoc70=,12156666500,2023-02-14 19:55:19.780000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
6auMJRhJJNCSv/6jklgYvR3Xvk8B2q8+tf47udKqUjE=,SztxNZwzA73zftmS8BpNlgjwT/VOYch9jGfQrqI0CjE=,13586942334,2023-06-05 15:32:22.916000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
PUYy774wLUIdGHIdMBtgyRoANnBpVGK4oLZSdFw77Ok=,HK+R1C2jc9EOK4H8O+2qi7L//Oh/kI8lHcKiyL91r84=,10564886863,2023-01-24 08:39:49.413000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
roueortaX3Mx0YLFf5becIApwUKVobVSs7w1t/6lVcE=,3xz0xoX8qr212/djSn+Dy+ZR/uU+RsmW54PriuUU/Us=,12149716742,2023-02-14 07:22:25.780000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
vI4S8aDu55+P6DAf3sXFYRIkXKoxxTGfMJIjyfLvewY=,sV47U4LT2z9uwijrzLvWCcsV9CZM678w+f+hJa5+tqE=,15273522241,2023-09-21 21:53:32.252000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
aLfxWrWpzxAqtqLhrY5hTMT3or3nncbGD3q8DmVKpWY=,C+ZDxMVOCxUnYKDCNY7yGF/SEA8XYrBonADpjhiHnxk=,14304505664,2023-07-21 14:37:17.811000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
8XzTYKELrEY70usCLAOmEUR7Hrt00XE8cYd2Yk5eLMM=,Ia9AVq9uOLs8yQTAN27HbnWXpEMkkTwgEwkZZ6WIAQ8=,12139784875,2023-08-14 13:01:14.888000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
XRNMBTLEzmmDVypFMW7Ap3YHMEwTo6qaIILl6HNmRqY=,7LZaFHgK8jltJuJEInVSTGeeBS05A37Lz0FksBWUQ14=,13288263846,2023-05-10 13:25:07.353000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
qFx5VVBOYGZaKrq72azXV5luSu4oz53T63o5JZo/Hpk=,Dd4y527TGnOU9m261u9oo3XCulRx4lco5DSV78lnY9o=,12256443056,2023-02-21 17:07:31.043000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
VCy4KgWxSSKyKRswNQ14TXM6k692sAWVrFrdqQD2Iqs=,ygLHyRZp+BMlKamXGvST8fHPRQjtyUGmTMc7UDfM1AM=,13310792290,2023-05-30 00:54:42.292000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
1/4A9rKqSAE1ykv1RAtWzJeqOYyHadIHDCd973R7ff4=,mYef3xq92pqHLvm3axLDkUIsP5RNHwfmKNXWWK69Wh8=,10845312584,2023-02-02 09:49:03.835000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
+QccRZIgli+Dbs7ozW7CKd9efkFW3EBOb1vR+pjZCr8=,NuvtLl60FBUVtW262xcSEGhNiBsxSxUg4kqxnylDXyY=,14451926920,2023-08-03 15:50:00.281000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
wXp/ikILdXlEwha1MXzZxc7SUKM//0enIeG0fwXczb8=,g0ZYoh34k4JRxWr6iqx6qwVy+XNzHzwsxAkZpcruoDs=,15329196842,2023-10-09 22:21:20.004000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
AOo3E3gvDOu+h6bit9+nbK46/9QKU7gLkMgLp89ozNA=,rNI9SdANsnXAy93ZSc+AnJ02/6bkuBVuEDWv1NppTz8=,9613459886,2023-01-24 08:30:01.444000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
w7OLXqvNcYG8DV3ZAVH3AWJs3sS1YxuIAqJUjSJkGxs=,4T4uE4Fs5XuoqYb1egAtIOoRQUcQtxEiok82QdVXcS4=,12066779557,2023-02-10 19:20:29.543000 UTC,DEFAULT,MID MARKET PIPELINE,7960224,LEAD ENGAGED,1
